id;nome;caminho;md_5;status;tipo;total_linhas;criacao;processamento
1;calculate Jewelery;Gambia;North Carolina Ridge;ERRO;internet solution AI;55715;2020-04-23;2020-04-23
2;Human;fuchsia;Rhode Island;PROCESSADO;Savings Account;5439;2020-04-23;2020-04-23
3;redundant Tools;Rubber Metical port;Ergonomic Frozen Hat;ERRO;Shoes De-engineered Towels;46848;2020-04-23;2020-04-23
4;multi-byte microchip;program Gloves pricing structure;paradigms;ERRO;rich back up;71364;2020-04-22;2020-04-23
5;experiences Handcrafted Wooden Keyboard Tools;Cotton Awesome;Hong Kong Dollar Digitized;CRIADO;Ramp value-added;56539;2020-04-23;2020-04-23
6;Crossroad;Albania;Faroe Islands card;PROCESSADO;maroon Home Loan Account;84163;2020-04-23;2020-04-22
7;SCSI Virgin Islands, British transform;compress;program communities National;ERRO;silver;607;2020-04-23;2020-04-22
8;Customer;HTTP Books;microchip;ERRO;green Tuna;75584;2020-04-22;2020-04-23
9;multi-byte;SSL Saint Lucia;Lari overriding Security;ERRO;mint green;4398;2020-04-22;2020-04-22
10;mobile olive Web;sensor;Frozen Focused hack;ERRO;Course empower;5073;2020-04-23;2020-04-23
